year,date,filename,n_mining,n_total,area_km2,coverage_pct,change_km2,change_pct
2021,20211223,T45QUE_20211223T045221_TCI_10m.jp2,2327,116964,155.9552,1.293585621812801,,
2022,20221029,T45QUE_20221029T044921_TCI_10m.jp2,2007,116964,156.2624,1.296133722184067,0.307200000000023,0.1969796454366568
2023,20230527,T45QUE_20230527T044701_TCI_10m.jp2,2653,116964,170.7008,1.4158944396335778,14.438399999999973,9.23984272608125
2024,20241117,T45QUE_20241117T045101_TCI_10m.jp2,2206,116964,167.8336,1.39211216950176,-2.867199999999997,-1.6796640671865593
2025,20250516,T45QUE_20250516T044721_TCI_10m.jp2,2520,116964,172.3392,1.429484308280331,4.505600000000015,2.68456375838928
