year,date,filename,n_mining,n_total,area_km2,pct_mining,change_km2,change_pct
2021,20211223,T45QUE_20211223T045221_TCI_10m.jp2,3,1225,15.052800000000001,0.24489795918367346,,
2022,20221128,T45QUE_20221128T045131_TCI_10m.jp2,4,1225,20.070400000000003,0.32653061224489793,5.017600000000002,33.33333333333335
2023,20230226,T45QUE_20230226T044741_TCI_10m.jp2,34,1225,170.59840000000003,2.7755102040816326,150.52800000000002,750.0
2024,20240211,T45QUE_20240211T044931_TCI_10m.jp2,15,1225,75.26400000000001,1.2244897959183674,-95.33440000000002,-55.88235294117647
2025,20251224,T45QUE_20251224T045241_TCI_10m.jp2,24,1225,120.42240000000001,1.9591836734693877,45.1584,59.999999999999986
